DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Latitude,Longitude,Community Board,Council District,Census Tract
,412503.0,93.0,32.0,,7.5,0.0,,2047200.0,20472.0,11241926.1,3249755.2,1194.0,150.8,1043.2,432503.0,22061.0,51.01,87.9,,,,,
,321464.0,72.0,76.2,79.9,3.5,0.0,106.2,880200.0,8906.3,3968641.7,1121931.8,1893.4,1525.1,368.3,321464.0,5915.6,18.4,103.3,,,,,
179130.0,204720.0,67.0,75.7,79.0,4.0,0.0,109.1,553439.4,5604.4,2886852.2,820016.2,1204.4,936.5,267.9,204720.0,,,106.6,40.857943,-73.934962,12.0,10.0,281.0
102150.0,116744.0,80.0,77.1,82.7,2.6,0.0,102.8,326760.6,3301.9,1081789.4,308074.6,689.0,588.6,100.4,116744.0,,,97.7,40.858256,-73.934734,12.0,10.0,281.0
,189766.0,100.0,68.0,,6.1,0.5,,8786386.9,98264.5,4013954.9,1156269.9,847.5,475.0,372.5,189766.0,,,115.6,,,,,
151666.0,130629.0,100.0,23.7,23.4,6.8,,73.3,,,3090622.7,894049.0,286.8,0.0,286.8,130629.0,,,74.3,40.773465,-73.962116,8.0,4.0,130.0
64827.0,54913.0,100.0,17.9,17.4,4.8,0.0,52.3,59412.9,601.0,923332.2,262377.2,88.8,3.2,85.7,54913.0,231.9,4.22,53.9,40.773843,-73.961838,8.0,4.0,130.0
175885.0,175885.0,40.0,56.2,58.8,10.7,0.2,138.3,3826349.7,39028.3,6056300.2,1887619.4,765.3,203.2,562.0,175885.0,237.9,1.35,131.0,40.786238,-73.939958,11.0,8.0,162.0
167856.0,152308.0,67.0,49.5,50.7,7.4,0.3,105.7,3634699.8,38952.7,3900932.9,1121175.7,555.1,193.1,362.0,152308.0,,,105.5,,,,,
217584.0,228570.0,99.0,25.5,25.1,4.9,0.1,61.4,1919800.0,19198.0,3900932.9,1121175.7,464.0,102.0,362.0,228570.0,,,62.4,,,,,
145056.0,152380.0,12.0,65.3,66.8,12.4,0.2,158.7,3422100.0,37194.6,6531693.6,1892619.8,787.9,181.8,606.1,152380.0,,,158.2,,,,,
290112.0,304760.0,88.0,43.7,43.4,5.7,0.2,86.6,7268300.3,72683.0,6057016.5,1749805.6,948.1,386.1,562.1,304760.0,,,87.4,,,,,
,83131.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83131.0,975.6,11.74,0.0,,,,,
,54138.0,100.0,0.5,0.5,,0.0,0.5,28000.0,280.0,,,1.5,1.5,0.0,54138.0,,,0.5,,,,,
,48608.0,99.0,16.0,16.0,4.5,0.0,49.1,27900.0,279.0,750367.0,219920.0,71.1,1.5,69.6,48608.0,,,49.1,,,,,
57300.0,42352.0,100.0,6.1,5.8,0.7,0.0,10.9,157800.0,1468.2,98511.3,28872.0,17.5,8.4,9.1,57300.0,1668.9,39.41,11.2,40.805894,-73.962946,9.0,7.0,199.0
57430.0,42128.0,100.0,6.8,6.8,1.2,0.0,15.8,115700.0,1157.0,172640.4,50598.0,22.2,6.1,16.0,42128.0,,,15.8,40.805938,-73.963051,9.0,7.0,199.0
52624.0,72109.0,89.0,30.4,30.4,8.6,0.0,93.0,85200.0,852.0,2106568.7,617399.9,200.0,4.5,195.5,72109.0,,,93.0,40.806444,-73.96503,9.0,7.0,199.0
135458.0,140056.0,86.0,34.2,34.2,10.0,,107.3,,,4787718.5,1403199.9,444.3,0.0,444.3,140056.0,,,107.3,40.806172,-73.965229,9.0,7.0,199.0
,157385.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,157385.0,,,0.0,,,,,
,169396.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,169396.0,,,0.0,,,,,
710600.0,105156.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,105156.0,,,0.0,40.80709,-73.960847,9.0,7.0,20101.0
710600.0,249978.0,73.0,73.4,73.4,21.5,,230.3,,,18337452.7,5374399.3,1701.7,0.0,1701.7,249978.0,,,230.3,40.80709,-73.960847,9.0,7.0,20101.0
710600.0,16803.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,16803.0,,,0.0,40.80709,-73.960847,9.0,7.0,20101.0
422915.0,423521.0,71.0,69.9,69.9,20.5,,219.5,,,29607971.1,8677598.9,2747.6,0.0,2747.6,423521.0,,,219.5,40.807738,-73.960373,9.0,7.0,20101.0
365100.0,352040.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,352040.0,,,0.0,40.807023,-73.958712,9.0,7.0,20101.0
55056.0,57903.0,100.0,11.4,11.4,0.0,0.1,11.9,657600.0,6576.0,0.0,0.0,34.9,34.9,0.0,57903.0,,,11.9,40.80912,-73.965599,9.0,7.0,205.0
55960.0,53440.0,100.0,0.1,0.1,,0.0,0.1,5800.0,58.0,,,0.3,0.3,0.0,53440.0,517.4,9.68,0.1,40.808999,-73.964487,9.0,7.0,205.0
74634.0,74328.0,100.0,1.1,1.1,0.0,0.0,1.4,71800.0,718.0,9720.8,2849.0,4.7,3.8,0.9,74328.0,,,1.4,40.809885,-73.963843,9.0,7.0,205.0
50120.0,50120.0,100.0,0.1,0.1,0.0,0.0,0.3,0.0,0.0,5281.8,1548.0,0.5,0.0,0.5,50120.0,,,0.3,40.810451,-73.964631,9.0,7.0,205.0
50120.0,49668.0,100.0,7.5,7.5,0.2,0.1,9.3,336800.0,3368.0,34727.3,10178.0,21.1,17.9,3.2,49668.0,1976.2,39.79,9.3,40.810223,-73.964797,9.0,7.0,205.0
93600.0,56959.0,74.0,108.3,108.1,5.8,,168.3,,,1954768.9,565153.5,754.0,0.0,754.0,97642.0,,,169.1,40.841398,-73.94049,12.0,10.0,251.0
136608.0,117368.0,84.0,108.6,111.9,6.9,0.3,164.1,5448026.1,54480.3,4148446.0,1195236.2,1367.8,982.8,385.0,174348.0,10175.0,58.36,161.7,40.84334,-73.942903,12.0,10.0,255.0
